                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.91825,                0.92517,                 1.3156,                0.78375,                0.79149,                 0.8425,                0.60694,                 1.0442,                0.86237,                 1.4855,               0.007756,               0.007756,               0.007756
                     37,                0.91252,                0.92503,                 1.3111,                0.82344,                0.75304,                0.83899,                0.60957,                 1.0297,                0.89647,                 1.4695,                0.00769,                0.00769,                0.00769
                     38,                0.91477,                0.92093,                 1.3148,                0.82816,                0.75531,                0.84521,                0.61515,                 1.0195,                0.85736,                 1.4707,               0.007624,               0.007624,               0.007624
                     39,                0.92045,                 0.9195,                 1.3126,                0.83247,                0.79087,                0.86337,                0.63538,                0.99184,                0.79961,                 1.4372,               0.007558,               0.007558,               0.007558
                     40,                0.90635,                 0.9207,                 1.3013,                0.83365,                0.78792,                0.86203,                0.63565,                0.98095,                0.82194,                  1.428,               0.007492,               0.007492,               0.007492
                     41,                0.91573,                0.90959,                 1.3122,                0.81591,                0.78029,                0.85667,                0.62243,                 1.0207,                0.81306,                 1.4662,               0.007426,               0.007426,               0.007426
                     42,                0.90097,                0.90743,                 1.3032,                0.83632,                 0.8046,                0.87187,                0.64278,                0.99845,                0.77531,                 1.4323,                0.00736,                0.00736,                0.00736
                     43,                0.90411,                0.89435,                 1.3011,                0.83519,                0.79618,                0.86275,                0.64198,                0.96124,                0.77628,                 1.4017,               0.007294,               0.007294,               0.007294
                     44,                0.90499,                0.88534,                 1.3008,                0.85899,                0.76366,                0.86526,                0.63806,                0.96963,                0.80018,                 1.4187,               0.007228,               0.007228,               0.007228
                     45,                0.88963,                0.88166,                 1.2921,                0.83019,                0.79566,                0.87248,                 0.6494,                0.96076,                0.78152,                 1.4098,               0.007162,               0.007162,               0.007162
                     46,                 0.8947,                0.87947,                  1.298,                0.82377,                0.74175,                 0.8366,                0.61106,                0.99791,                0.90443,                 1.4592,               0.007096,               0.007096,               0.007096
                     47,                0.88429,                0.87216,                 1.2893,                0.85826,                0.79988,                0.88356,                0.65767,                0.95561,                0.75631,                 1.3967,                0.00703,                0.00703,                0.00703
                     48,                0.87594,                0.86056,                 1.2906,                0.85793,                0.80564,                0.88018,                0.65966,                0.95487,                0.76105,                 1.3988,               0.006964,               0.006964,               0.006964
                     49,                0.88371,                0.86361,                 1.2877,                0.82898,                0.83761,                0.88995,                0.66439,                0.96205,                0.72413,                 1.4023,               0.006898,               0.006898,               0.006898
                     50,                0.88768,                0.85128,                  1.286,                0.85148,                0.81149,                0.88842,                0.66337,                0.96815,                0.73054,                 1.4068,               0.006832,               0.006832,               0.006832
                     51,                0.87839,                0.84479,                 1.2766,                0.85152,                0.80254,                0.87805,                0.66027,                0.94323,                0.73525,                  1.379,               0.006766,               0.006766,               0.006766
                     52,                0.87801,                 0.8466,                 1.2852,                0.84464,                 0.8213,                0.88698,                0.66978,                0.93729,                0.71967,                 1.3737,                 0.0067,                 0.0067,                 0.0067
                     53,                0.88153,                0.85437,                 1.2846,                0.85423,                0.81382,                0.89241,                0.66751,                0.95333,                0.70675,                 1.3894,               0.006634,               0.006634,               0.006634
                     54,                0.86989,                0.84968,                 1.2832,                0.82968,                0.83235,                0.88335,                0.65982,                0.96238,                0.73066,                 1.4051,               0.006568,               0.006568,               0.006568
                     55,                0.87244,                0.83733,                 1.2752,                0.86098,                0.80589,                 0.8907,                0.67354,                0.93816,                0.70711,                 1.3802,               0.006502,               0.006502,               0.006502
                     56,                0.86592,                0.82949,                 1.2699,                 0.8551,                0.82231,                0.89465,                0.67478,                0.94871,                0.69415,                 1.3808,               0.006436,               0.006436,               0.006436
                     57,                0.86814,                0.82224,                 1.2738,                0.85556,                  0.816,                0.89172,                  0.677,                0.92562,                0.70977,                 1.3757,                0.00637,                0.00637,                0.00637
                     58,                0.86176,                0.81926,                 1.2746,                0.88807,                  0.807,                0.89352,                 0.6787,                0.92316,                0.68944,                 1.3698,               0.006304,               0.006304,               0.006304
                     59,                0.86962,                0.82762,                 1.2728,                0.87372,                 0.8186,                0.89612,                0.67581,                0.93217,                0.68574,                 1.3687,               0.006238,               0.006238,               0.006238
                     60,                0.84884,                0.80639,                 1.2621,                0.83753,                0.82613,                0.88725,                0.67303,                0.93196,                0.71102,                 1.3818,               0.006172,               0.006172,               0.006172
                     61,                0.85213,                0.79828,                 1.2583,                0.87421,                 0.8194,                0.89836,                 0.6798,                0.92942,                0.67596,                 1.3732,               0.006106,               0.006106,               0.006106
                     62,                0.86021,                0.80235,                 1.2661,                0.87938,                0.82063,                0.89753,                0.68513,                0.92819,                0.66868,                   1.37,                0.00604,                0.00604,                0.00604
                     63,                 0.8575,                0.79541,                 1.2689,                0.87124,                0.81645,                0.89631,                0.68588,                0.91218,                0.68246,                  1.359,               0.005974,               0.005974,               0.005974
                     64,                0.84478,                 0.7869,                 1.2601,                0.87021,                0.83751,                0.90276,                0.68607,                0.92194,                0.66196,                 1.3577,               0.005908,               0.005908,               0.005908
                     65,                0.84292,                 0.7896,                 1.2551,                0.87469,                0.82371,                0.89808,                  0.683,                0.92243,                0.67546,                 1.3645,               0.005842,               0.005842,               0.005842
                     66,                0.84324,                0.78153,                 1.2545,                0.88197,                0.83659,                0.90786,                0.69295,                0.91248,                0.64884,                 1.3544,               0.005776,               0.005776,               0.005776
                     67,                0.83249,                0.76886,                 1.2475,                0.87432,                0.82681,                0.90239,                0.68558,                0.92442,                0.66148,                 1.3599,                0.00571,                0.00571,                0.00571
                     68,                0.84388,                0.77749,                 1.2546,                0.87837,                0.82947,                0.90156,                0.68629,                0.91739,                0.64683,                 1.3563,               0.005644,               0.005644,               0.005644
                     69,                 0.8424,                 0.7716,                 1.2552,                0.87022,                0.82395,                0.89945,                0.68164,                0.91423,                0.66541,                 1.3591,               0.005578,               0.005578,               0.005578
                     70,                0.82515,                0.76301,                 1.2455,                0.86422,                0.83422,                0.90151,                0.68955,                0.91666,                0.65481,                 1.3544,               0.005512,               0.005512,               0.005512
                     71,                0.83984,                0.77867,                 1.2533,                0.86794,                0.82662,                0.90241,                0.69093,                0.91896,                0.65227,                 1.3538,               0.005446,               0.005446,               0.005446
                     72,                 0.8269,                0.76742,                 1.2438,                0.88347,                0.80807,                0.90399,                0.69503,                0.90579,                0.65491,                 1.3444,                0.00538,                0.00538,                0.00538
                     73,                0.82968,                0.75812,                 1.2441,                0.87203,                0.82906,                0.90134,                0.69391,                0.91586,                0.66096,                 1.3557,               0.005314,               0.005314,               0.005314
                     74,                0.82349,                 0.7564,                 1.2445,                0.86702,                0.83829,                0.90399,                0.69341,                0.90147,                0.64052,                 1.3467,               0.005248,               0.005248,               0.005248
